track_index,dj_play_count,color,artwork,bpm,year,title,tag,artist,rating,album,time,date_added,key,genre
211,0,,,160.02,2013,Where are we now,Top 40/Pop / Playlisted,David Bowie,     ,Nederlandse Top 40 week 2013-03,4:08,2/15/2013,,Top 40
212,0,,,148,2012,Six degrees of separation,Top 40/Pop / Playlisted,The Script,     ,Nederlandse Top 40 week 2013-03,3:51,2/15/2013,,Top 40
213,0,,,144.95,2012,When I was your man,Top 40/Pop / Playlisted,Bruno Mars,     ,Nederlandse Top 40 week 2013-04,3:33,2/15/2013,,Top 40
214,1,,,102,2013,Suit & tie,Top 40/Pop / Playlisted,Justin Timberlake ft. Jay-Z,     ,Nederlandse Top 40 week 2013-04,5:26,2/15/2013,,Top 40
215,0,,,134,2013,With you,Top 40/Pop / Playlisted,Matt Simons,     ,Nederlandse Top 40 week 2013-04,3:38,2/15/2013,,Top 40
216,1,,,128,2013,Apollo,Top 40/Pop / Playlisted,Hardwell ft. Amba Shepherd,     ,Nederlandse Top 40 week 2013-04,3:29,2/15/2013,,Top 40
217,0,,,90,2012,Kiss You,Top 40/Pop / Playlisted,One Direction,     ,Nederlandse Top 40 week 2013-05,3:03,2/15/2013,,Top 40
218,0,,,138.01,2013,I love this city,Top 40/Pop / Playlisted,Kane,     ,Nederlandse Top 40 week 2013-05,3:24,2/15/2013,,Top 40
219,0,,,130,2012,We Are One,Top 40/Pop / Playlisted,Ilse DeLange,     ,Nederlandse Top 40 week 2013-05,4:04,2/15/2013,,Top 40
220,0,,,94,2013,Silhouette,Top 40/Pop / Playlisted,Lisa Lois,     ,Nederlandse Top 40 week 2013-05,3:36,2/15/2013,,Top 40
221,0,,,140,2013,De nacht voorbij,Top 40/Pop / Playlisted,Gerard Joling,     ,Nederlandse Top 40 week 2013-05,3:37,2/15/2013,,Nederlands
222,37,,,95,2013,Thrift shop,Top 40/Pop / Playlisted,Macklemore & Ryan Lewis ft. Wanz,**** ,Nederlandse Top 40 week 2013-06,3:57,2/15/2013,,Top 40
223,0,,,130,2013,Waiting for the night,Top 40/Pop / Playlisted,Armin Van Buuren ft. Fiora,     ,Nederlandse Top 40 week 2013-06,3:04,2/15/2013,,Top 40
224,0,,,120,2013,Zo kan het dus ook,Top 40/Pop / Playlisted,Nielson,     ,Nederlandse Top 40 week 2013-06,2:59,2/15/2013,,Nederlands
225,10,,,124,2013,Need U,House / Top 40/Pop / Deep / Playlisted / RAUW,Duke Dumont ft. A-M-E,     ,Nederlandse Top 40 week 2013-07,3:53,3/4/2013,,Top 40
226,2,,,135.01,2013,Play me,Top 40/Pop / Playlisted,Johannes Rypma,     ,Nederlandse Top 40 week 2013-07,3:06,3/4/2013,,Top 40
227,0,,,156.98,2013,Holes,Top 40/Pop / Playlisted,Passenger,     ,Nederlandse Top 40 week 2013-07,3:33,3/4/2013,,Top 40
228,0,,,111.68,2013,Stay,Top 40/Pop / Playlisted,Rihanna ft. Mikky Ekko,     ,Nederlandse Top 40 week 2013-08,4:00,3/4/2013,,Top 40
229,6,,,140,2013,Harlem Shake,Top 40/Pop / Playlisted / PARTY!!!,Baauer,*****,Nederlandse Top 40 week 2013-08,3:16,3/4/2013,,Top 40
230,0,,,122.67,2013,Tuig van de Richel,Top 40/Pop / Playlisted,Danny de Munk,     ,Nederlandse Top 40 week 2013-08,3:17,3/4/2013,,Nederlands
231,0,,,77,2013,Mirrors,Top 40/Pop / Playlisted,Justin Timberlake,     ,Nederlandse Top 40 week 2013-08,8:05,3/4/2013,,Top 40
232,24,,,135,2013,Helemaal naar de klote,Hip Hop / Dance / Top 40/Pop / Playlisted / PARTY!!!,The Partysquad ft. Jayh Jawson Sjaak & Reverse,*****,Nederlandse Top 40 week 2013-08,3:55,3/4/2013,,Nederlands
233,0,,,139.98,2013,Warrior worrier,Top 40/Pop / Playlisted,Outlandish,     ,Nederlandse Top 40 week 2013-08,4:30,3/4/2013,,Top 40
234,0,,,162,2013,One way or another (Teenage kicks),Top 40/Pop / Playlisted,One Direction,     ,Nederlandse Top 40 week 2013-09,2:37,3/4/2013,,Top 40
235,2,,,128.05,2013,High on your love,Top 40/Pop / Playlisted,Sharon Doorson,     ,Nederlandse Top 40 week 2013-09,3:20,3/4/2013,,Top 40
236,0,,,159.84,2013,Ho hey,Top 40/Pop / Playlisted,The Lumineers,     ,Nederlandse Top 40 week 2013-09,2:33,3/4/2013,,Top 40
237,0,,,100,2013,Tangled up,Top 40/Pop / Playlisted,Caro Emerald,     ,Nederlandse Top 40 week 2013-09,3:15,3/4/2013,,Top 40
238,2,,,145.48,2013,If you could see me now,Top 40/Pop / Playlisted,The Script,     ,Nederlandse Top 40 week 2013-09,3:39,3/4/2013,,Top 40
239,0,,,128,2013,Sovereign light cafe (Afrojack remix),Top 40/Pop / Playlisted,Keane,     ,Nederlandse Top 40 week 2013-10,6:11,4/2/2013,,
240,0,,,120,2013,Mind is blown,Top 40/Pop / Playlisted,MainStreet,     ,Nederlandse Top 40 week 2013-10,3:08,4/2/2013,,
241,0,,,120,2013,Sonnentanz,House / Top 40/Pop / Deep / Playlisted,Klangkarussell,     ,Nederlandse Top 40 week 2013-11,3:50,4/2/2013,,Top 40
242,0,,,87,2013,Heart attack,Top 40/Pop / Playlisted,Demi Lovato,     ,Nederlandse Top 40 week 2013-11,3:31,4/2/2013,,Top 40
243,0,,,141.99,2013,Home again,Top 40/Pop / Playlisted,Kensington,     ,Nederlandse Top 40 week 2013-11,3:15,4/2/2013,,Top 40
244,3,,,152,2013,My songs know what you did in the dark,Top 40/Pop / Playlisted,Fall Out Boy,     ,Nederlandse Top 40 week 2013-11,3:08,4/2/2013,,Top 40
245,0,,,84.74,2013,Birds,Top 40/Pop / Playlisted,Anouk,     ,Nederlandse Top 40 week 2013-11,3:23,4/2/2013,,Top 40
246,0,,,88.5,2013,Julia,Top 40/Pop / Playlisted,Nick & Simon,     ,Nederlandse Top 40 week 2013-12,3:35,4/2/2013,,Nederlands
247,0,,,88.01,2013,Back in my world,Top 40/Pop / Playlisted,Alain Clark,     ,Nederlandse Top 40 week 2013-12,3:12,4/2/2013,,Top 40
248,0,,,126,2013,Tonight I'm getting over you,Top 40/Pop / Playlisted,Carly Rae Jespen,     ,Nederlandse Top 40 week 2013-12,3:39,4/2/2013,,Top 40
249,15,,,108,2013,Watch out for this (Bumaye),Dance / Top 40/Pop / Urban / Playlisted,"Major Lazer ft. Busy Signal, The Flexican & FS Green",     ,Nederlandse Top 40 week 2013-13,4:29,4/2/2013,,Top 40
250,2,,,116.99,2013,Brighter than gold,Top 40/Pop / Playlisted,The Cat Empire,**   ,Nederlandse Top 40 week 2013-13,3:19,4/2/2013,,Top 40
251,1,,,114,2013,Queen of Elba,Top 40/Pop / Playlisted,Laura Jansen,     ,Nederlandse Top 40 week 2013-13,3:57,4/2/2013,,Top 40
252,1,,,130,2013,Earth meets water,Top 40/Pop / Playlisted,Rigby,     ,Nederlandse Top 40 week 2013-13,3:47,4/2/2013,,Top 40
253,7,,,120,2013,Blurred lines,Top 40/Pop / Playlisted,Robin Thicke ft. T.I. & Pharrell,     ,Nederlandse Top 40 week 2013-15,4:22,4/24/2013,,Top 40
254,2,,,90.02,2013,Sukkel voor de liefde,Top 40/Pop / Playlisted,The Opposites ft. Mr. Probz,     ,Nederlandse Top 40 week 2013-15,3:24,4/24/2013,,Nederlands
255,0,,,128,2013,As your friend,Top 40/Pop / Playlisted,Afrojack ft. Chris Brown,     ,Nederlandse Top 40 week 2013-15,4:00,4/24/2013,,Top 40
256,3,,,120,2013,Sonnentanz,Top 40/Pop / Playlisted,Klangkarussell,     ,Nederlandse Top 40 week 2013-16,3:50,4/24/2013,,Top 40
257,7,,,130,2013,This is what it feels like,Dance / EDM Main / Top 40/Pop / Progressive / Vocal/Meezinger / White / Playlisted / PARTY!!!,Armin Van Buuren ft. Trevor Guthrie,**** ,Nederlandse Top 40 week 2013-16,3:26,4/24/2013,,Top 40
258,0,,,144,2013,It's a beautiful day,Top 40/Pop / Playlisted,Michael Buble,     ,Nederlandse Top 40 week 2013-16,3:20,4/24/2013,,Top 40
259,2,,,104,0,Mermaid,Top 40/Pop / Playlisted,Train,     ,Nederlandse Top 40 week 2013-16,3:16,4/24/2013,,Top 40
260,2,,,130,2013,Slow down,Top 40/Pop / Playlisted,Showtek,     ,Nederlandse Top 40 week 2013-16,3:04,4/24/2013,,Top 40
261,1,,,128,2013,Chemistry,Top 40/Pop / Playlisted,Eva Simons,     ,Nederlandse Top 40 week 2013-16,3:30,4/24/2013,,Top 40
262,3,,,126,2013,Gentleman,Top 40/Pop / PARTY!!! / Hack Tag,PSY,     ,Gentleman - Single,3:14,4/24/2013,,Pop
263,12,,,146,2013,Can't hold us ,Top 40/Pop / Playlisted,Macklemore & Ryan Lewis ft. Ray Dalton,     ,Nederlandse Top 40 week 2013-14,4:18,4/11/2013,,Top 40
